Batch	Pos	Well	Content
1	1	A01	neg
1	2	A02	neg
1	3	A03	sample
1	4	A04	sample
1	5	A05	sample
1	6	A06	sample
1	7	A07	sample
1	8	A08	sample
1	9	A09	sample
1	10	A10	sample
1	11	A11	sample
1	12	A12	sample
1	13	A13	sample
1	14	A14	sample
1	15	A15	sample
1	16	A16	sample
1	17	A17	sample
1	18	A18	sample
1	19	A19	sample
1	20	A20	sample
1	21	A21	sample
1	22	A22	sample
1	23	A23	sample
1	24	A24	sample
1	25	B01	neg
1	26	B02	pos
1	27	B03	sample
1	28	B04	sample
1	29	B05	sample
1	30	B06	sample
1	31	B07	sample
1	32	B08	sample
1	33	B09	sample
1	34	B10	sample
1	35	B11	sample
1	36	B12	sample
1	37	B13	sample
1	38	B14	sample
1	39	B15	sample
1	40	B16	sample
1	41	B17	sample
1	42	B18	sample
1	43	B19	sample
1	44	B20	sample
1	45	B21	sample
1	46	B22	sample
1	47	B23	sample
1	48	B24	sample
1	49	C01	sample
1	50	C02	sample
1	51	C03	sample
1	52	C04	sample
1	53	C05	sample
1	54	C06	sample
1	55	C07	sample
1	56	C08	sample
1	57	C09	sample
1	58	C10	sample
1	59	C11	sample
1	60	C12	sample
1	61	C13	sample
1	62	C14	sample
1	63	C15	sample
1	64	C16	sample
1	65	C17	sample
1	66	C18	sample
1	67	C19	sample
1	68	C20	sample
1	69	C21	sample
1	70	C22	sample
1	71	C23	sample
1	72	C24	sample
1	73	D01	sample
1	74	D02	sample
1	75	D03	sample
1	76	D04	sample
1	77	D05	sample
1	78	D06	sample
1	79	D07	sample
1	80	D08	sample
1	81	D09	sample
1	82	D10	sample
1	83	D11	sample
1	84	D12	sample
1	85	D13	sample
1	86	D14	sample
1	87	D15	sample
1	88	D16	sample
1	89	D17	sample
1	90	D18	sample
1	91	D19	sample
1	92	D20	sample
1	93	D21	sample
1	94	D22	sample
1	95	D23	sample
1	96	D24	sample
1	97	E01	sample
1	98	E02	sample
1	99	E03	sample
1	100	E04	sample
1	101	E05	sample
1	102	E06	sample
1	103	E07	sample
1	104	E08	sample
1	105	E09	sample
1	106	E10	sample
1	107	E11	sample
1	108	E12	sample
1	109	E13	sample
1	110	E14	sample
1	111	E15	sample
1	112	E16	sample
1	113	E17	sample
1	114	E18	sample
1	115	E19	sample
1	116	E20	sample
1	117	E21	sample
1	118	E22	sample
1	119	E23	sample
1	120	E24	sample
1	121	F01	sample
1	122	F02	sample
1	123	F03	sample
1	124	F04	sample
1	125	F05	sample
1	126	F06	sample
1	127	F07	sample
1	128	F08	sample
1	129	F09	sample
1	130	F10	sample
1	131	F11	sample
1	132	F12	sample
1	133	F13	sample
1	134	F14	sample
1	135	F15	sample
1	136	F16	sample
1	137	F17	sample
1	138	F18	sample
1	139	F19	sample
1	140	F20	sample
1	141	F21	sample
1	142	F22	sample
1	143	F23	sample
1	144	F24	sample
1	145	G01	sample
1	146	G02	sample
1	147	G03	sample
1	148	G04	sample
1	149	G05	sample
1	150	G06	sample
1	151	G07	sample
1	152	G08	sample
1	153	G09	sample
1	154	G10	sample
1	155	G11	sample
1	156	G12	sample
1	157	G13	sample
1	158	G14	sample
1	159	G15	sample
1	160	G16	sample
1	161	G17	sample
1	162	G18	sample
1	163	G19	sample
1	164	G20	sample
1	165	G21	sample
1	166	G22	sample
1	167	G23	sample
1	168	G24	sample
1	169	H01	sample
1	170	H02	sample
1	171	H03	sample
1	172	H04	sample
1	173	H05	sample
1	174	H06	sample
1	175	H07	sample
1	176	H08	sample
1	177	H09	sample
1	178	H10	sample
1	179	H11	sample
1	180	H12	sample
1	181	H13	sample
1	182	H14	sample
1	183	H15	sample
1	184	H16	sample
1	185	H17	sample
1	186	H18	sample
1	187	H19	sample
1	188	H20	sample
1	189	H21	sample
1	190	H22	sample
1	191	H23	sample
1	192	H24	sample
1	193	I01	sample
1	194	I02	sample
1	195	I03	sample
1	196	I04	sample
1	197	I05	sample
1	198	I06	sample
1	199	I07	sample
1	200	I08	sample
1	201	I09	sample
1	202	I10	sample
1	203	I11	sample
1	204	I12	sample
1	205	I13	sample
1	206	I14	sample
1	207	I15	sample
1	208	I16	sample
1	209	I17	sample
1	210	I18	sample
1	211	I19	sample
1	212	I20	sample
1	213	I21	sample
1	214	I22	sample
1	215	I23	sample
1	216	I24	sample
1	217	J01	sample
1	218	J02	sample
1	219	J03	sample
1	220	J04	sample
1	221	J05	sample
1	222	J06	sample
1	223	J07	sample
1	224	J08	sample
1	225	J09	sample
1	226	J10	sample
1	227	J11	sample
1	228	J12	sample
1	229	J13	sample
1	230	J14	sample
1	231	J15	sample
1	232	J16	sample
1	233	J17	sample
1	234	J18	sample
1	235	J19	sample
1	236	J20	sample
1	237	J21	sample
1	238	J22	sample
1	239	J23	sample
1	240	J24	sample
1	241	K01	sample
1	242	K02	sample
1	243	K03	sample
1	244	K04	sample
1	245	K05	sample
1	246	K06	sample
1	247	K07	sample
1	248	K08	sample
1	249	K09	sample
1	250	K10	sample
1	251	K11	sample
1	252	K12	sample
1	253	K13	sample
1	254	K14	sample
1	255	K15	sample
1	256	K16	sample
1	257	K17	sample
1	258	K18	sample
1	259	K19	sample
1	260	K20	sample
1	261	K21	sample
1	262	K22	sample
1	263	K23	sample
1	264	K24	sample
1	265	L01	sample
1	266	L02	sample
1	267	L03	sample
1	268	L04	sample
1	269	L05	sample
1	270	L06	sample
1	271	L07	sample
1	272	L08	sample
1	273	L09	sample
1	274	L10	sample
1	275	L11	sample
1	276	L12	sample
1	277	L13	sample
1	278	L14	sample
1	279	L15	sample
1	280	L16	sample
1	281	L17	sample
1	282	L18	sample
1	283	L19	sample
1	284	L20	sample
1	285	L21	sample
1	286	L22	sample
1	287	L23	sample
1	288	L24	sample
1	289	M01	sample
1	290	M02	sample
1	291	M03	sample
1	292	M04	sample
1	293	M05	sample
1	294	M06	sample
1	295	M07	sample
1	296	M08	sample
1	297	M09	sample
1	298	M10	sample
1	299	M11	sample
1	300	M12	sample
1	301	M13	sample
1	302	M14	sample
1	303	M15	sample
1	304	M16	sample
1	305	M17	sample
1	306	M18	sample
1	307	M19	sample
1	308	M20	sample
1	309	M21	sample
1	310	M22	sample
1	311	M23	sample
1	312	M24	sample
1	313	N01	sample
1	314	N02	sample
1	315	N03	sample
1	316	N04	sample
1	317	N05	sample
1	318	N06	sample
1	319	N07	sample
1	320	N08	sample
1	321	N09	sample
1	322	N10	sample
1	323	N11	sample
1	324	N12	sample
1	325	N13	sample
1	326	N14	sample
1	327	N15	sample
1	328	N16	sample
1	329	N17	sample
1	330	N18	sample
1	331	N19	sample
1	332	N20	sample
1	333	N21	sample
1	334	N22	sample
1	335	N23	sample
1	336	N24	sample
1	337	O01	sample
1	338	O02	sample
1	339	O03	sample
1	340	O04	sample
1	341	O05	sample
1	342	O06	sample
1	343	O07	sample
1	344	O08	sample
1	345	O09	sample
1	346	O10	sample
1	347	O11	sample
1	348	O12	sample
1	349	O13	sample
1	350	O14	sample
1	351	O15	sample
1	352	O16	sample
1	353	O17	sample
1	354	O18	sample
1	355	O19	sample
1	356	O20	sample
1	357	O21	sample
1	358	O22	sample
1	359	O23	sample
1	360	O24	sample
1	361	P01	sample
1	362	P02	sample
1	363	P03	sample
1	364	P04	sample
1	365	P05	sample
1	366	P06	sample
1	367	P07	sample
1	368	P08	sample
1	369	P09	sample
1	370	P10	sample
1	371	P11	sample
1	372	P12	sample
1	373	P13	sample
1	374	P14	sample
1	375	P15	sample
1	376	P16	sample
1	377	P17	sample
1	378	P18	sample
1	379	P19	sample
1	380	P20	sample
1	381	P21	sample
1	382	P22	sample
1	383	P23	sample
1	384	P24	sample
